"case_id","variant","replicate","terminal_state","locus","name","ai_position","differentiation_unit","claimed_visibility","claimed_intensity","touchpoint","mechanism","evidence_ids","gate_rationale","run_dir"
"case_004","llm_bands","1","PASS","NON_BACKSTAGE","Material Signal Archive","BACKSTAGE","SEGMENT","LOW","LOW","Internal design and procurement teams, during the annual property refresh and new property development cycle, through a closed internal review interface accessible only to senior design leadership","The AI ingests aggregated, anonymised behavioural residue from across the portfolio — room preference patterns, amenity usage rates, unsolicited written feedback, service request timing, and post-stay survey language — and synthesises this into periodic design intelligence briefs. These briefs surface latent material and spatial preferences that recur across the guest base without attributing signals to any individual. The output takes the form of ranked material hypotheses: for example, that guests in a particular climate zone consistently underuse outdoor bathing features installed in direct sightlines, or that a specific textile weight correlates with longer in-room dwell times. Design teams treat these as one input among several — alongside craft tradition, site ecology, and architectural intent — when specifying materials, spatial configurations, and amenity selections for new builds or refurbishments. No AI output reaches a guest or a guest-facing staff member. The system has no access to identifiable guest records and cannot produce individual-level recommendations.","D2;D4;D5;D1","The problem is fundamentally about how Aman relates to individual guests at scale: maintaining relationship depth, ensuring the relevance and consistency of highly personal service across a growing portfolio, and retaining the loyalty of ultra-high-net-worth clients who expect their preferences to be remembered and honoured without being asked. The tension the brief identifies—scaling human-feeling personalisation without making it feel algorithmic or surveillance-like—is a classic personalisation design challenge, not an operational or supply-chain issue. Every dimension of the profile reinforces that the core difficulty lies in differentiating the experience per client (preference anticipation, tailored itineraries, continuity across properties) while respecting strict invisibility and privacy constraints. Personalisation is therefore the appropriate lens through which to address this problem.","runs\2026-08-21T12-44-21__905032"
"case_004","llm_bands","2","PASS","NON_BACKSTAGE","Latent Signal Archive","BACKSTAGE","COHORT","LOW","LOW","Internal product and design teams during property development cycles, accessed through a structured internal briefing interface used by senior designers and experience directors — no guest-facing surface exists","The AI ingests anonymised, aggregated operational signals from existing properties — patterns in bespoke service requests, materials selected during in-room customisation options, recurring themes in post-stay written feedback, and staff-logged preference notes stripped of any identifying data — and synthesises these into design-language reports. These reports surface latent convergences: recurring sensory preferences, spatial behaviours, or material affinities that recur across guest cohorts without being traceable to individuals. Design teams use these reports as one input among several when making decisions about new property specifications, FF&E procurement, amenity curation, and spatial programming. The AI produces no guest-facing output, issues no real-time recommendations, and has no access to individual guest records. Its output is a periodic analytical document that informs human creative judgment rather than replacing it.","D2;D5;D1;D4","The problem is fundamentally about how Aman relates to individual guests at scale: maintaining the depth, relevance, and consistency of deeply personal service experiences as the portfolio grows beyond intimate, single-property knowledge. This is a classic personalisation challenge—transferring rich client understanding across properties and touchpoints so that each guest feels uniquely recognised without the brand having to rely solely on individual staff memory. The dimensional profile reinforces that the solution must be invisible to the guest (Scenic Invisibility: STRICT), emotionally led, and filtered through human staff (Symbolic Orchestration Control: STRONG), but none of these constraints disqualify personalisation; they shape how it must be designed. The brief does not describe an operational or authentication problem; it describes the tension between scaling relationship depth and preserving brand authenticity, which personalisation is well positioned to address.","runs\2026-08-21T12-45-09__8e321e"
"case_004","baseline","0","PASS","PRE_ADVISOR","Silent Memory — AI-Augmented Guest Intelligence for Aman Hosts","BACKSTAGE","ONE_OF_ONE","LOW","HIGH","Aman hosts and residence managers, in the hours before a guest arrives, via a private staff briefing interface accessible on property management terminals","A backstage AI engine ingests structured and unstructured data from prior stays — room configuration notes, spa treatment records, dietary flags, activity choices, cultural interests logged by previous hosts — and synthesises a concise, narrative-style guest intelligence brief. The brief is written in warm, human prose rather than data tables, surfacing three to five actionable anticipations ranked by confidence. It highlights what is known, what has changed since the last visit, and where the host should exercise their own judgement rather than assume continuity. The AI never contacts the guest directly and is invisible to them entirely. Hosts review, edit, and own the brief before acting on it, preserving the appearance and reality of intuitive human care.","","","runs\2026-08-21T12-45-59__5fe5b1"
"case_004","baseline","1","PASS","PRE_ADVISOR","Silent Memory – AI-Augmented Guest Intelligence for Aman Hosts","BACKSTAGE","ONE_OF_ONE","LOW","HIGH","Aman hosts and residence managers receive a confidential pre-arrival briefing, surfaced through an internal staff tablet or property management interface, 48–72 hours before a guest checks in","A backstage AI system ingests structured and unstructured data from previous stays across the global portfolio — room configuration requests, spa treatment selections, dietary notes, excursion choices, cultural interests, pace-of-stay patterns, and any soft signals logged by hosts — and synthesises these into a concise, human-readable guest intelligence brief. The brief is framed entirely as the institutional memory of the property team, not as algorithmic output. It surfaces three to five specific, actionable anticipations — such as a preferred pillow configuration, a favoured morning ritual, or a dietary nuance — alongside open white space for the host to annotate and override with their own observations. The system learns iteratively from host corrections, weighting human judgment above model inference over time.","","","runs\2026-08-21T12-46-08__666944"
"case_004","baseline","2","PASS","PRE_ADVISOR","Silent Memory – AI-Augmented Guest Intelligence for Aman Hosts","BACKSTAGE","ONE_OF_ONE","LOW","HIGH","Aman host (butler, residence manager, or spa director) reviews a curated guest dossier on a private staff tablet 24–48 hours before arrival, prepared by the AI system drawing on cross-property stay history, wellness assessments, dietary records, and cultural interest signals","A backstage large-language-model layer ingests structured and unstructured guest data from across the Aman portfolio — reservation notes, spa intake forms, F&B preferences, activity logs, and discreet post-stay staff observations — and synthesises a narrative briefing for the receiving host. The briefing surfaces prioritised preference cues, flags sensitivities or contradictions (e.g. a guest who requested silence during a previous stay but later joined a group excursion), and proposes specific pre-arrival configurations: room scent, pillow selection, minibar curation, spa programme sequencing, and cultural programming suggestions relevant to the destination. It does not surface recommendations as algorithmic outputs; it frames them as 'notes from the team' in the voice of the Aman host network, preserving the fiction of institutional human memory.","","","runs\2026-08-21T12-46-17__885308"
"case_005","full","0","PASS","PRE_BACKSTAGE","Allocation Calibration Engine","BACKSTAGE","INDIVIDUAL","LOW","MEDIUM","Boutique directors and regional allocation managers interact with a structured decision-support dashboard during quarterly and ad-hoc allocation review cycles, before any client communication occurs","The system ingests longitudinal client data — purchase history, service engagement, waitlist tenure, horological dialogue records logged by advisors, and boutique-level demand signals — to produce ranked allocation recommendations per scarce reference. It does not score clients on a visible numerical index presented to advisors; instead it surfaces a tiered shortlist per model, with a plain-language rationale for each entry drawn from behavioral and relational signals. The rationale is written in terms a boutique director can interrogate, contest, and override: for example, 'three-year consistent engagement with complications category, no speculative resale pattern detected, waitlist position predates current demand spike.' The director reviews the shortlist, removes or reorders names based on relational knowledge the system cannot hold — a client's recent bereavement, a longstanding personal rapport, a conversation not yet logged — and finalizes the allocation. The system then closes the loop by ingesting the director's override decisions over time, refining its signal weighting without ever surfacing that learning process to the client tier. The client experiences only a call or visit from their advisor.","D2;D5;D1;D4","Although the problem has an operational dimension (allocation of scarce inventory across boutiques), its core challenge is fundamentally about how the brand relates to individual clients: understanding each client's depth of connoisseurship, purchase history, retention likelihood, and relationship quality in order to match the right watch to the right person. This is a personalisation problem—differentiating the offering per client based on individual profiles—rather than a pure supply-chain or inventory-optimisation problem. The brief's emphasis on preserving the perception of human relationships, identifying true collectors versus flippers, and maintaining relationship depth all confirm that the difficulty lies in the quality and relevance of client-level decision-making. The strict scenic invisibility requirement and the need for backstage AI support further underscore that the personalisation layer must be carefully designed, but the problem itself is squarely within the domain of client relationship differentiation.","runs\2026-08-21T12-46-28__72d4f4"
"case_005","full","1","PASS","PRE_BACKSTAGE","Allocation Signal Layer","BACKSTAGE","INDIVIDUAL","LOW","MEDIUM","Boutique directors and regional allocation managers, during quarterly and ad-hoc inventory planning cycles, through a secure internal dashboard never seen by clients","The system ingests structured relationship data — purchase history, service engagement, boutique visit cadence, expressed horological interests logged by advisors — and produces ranked allocation recommendations per reference and per boutique location. For each scarce reference entering distribution, it outputs a tiered shortlist of client profiles most aligned with that reference's complication category and collecting trajectory, accompanied by a plain-language rationale drawn from relational history rather than a raw score. The output is framed as a briefing document, not a directive: it surfaces patterns that a boutique director might not hold in working memory across a large client book, but it does not assign final allocation. A human curatorial review step is mandatory before any recommendation advances to the advisor who will initiate client contact. The system flags cases where its data picture is thin — newer clients with limited transaction history — so that director judgment is explicitly invited rather than displaced. It does not communicate with clients, does not generate client-facing content, and leaves no artifact visible outside the internal planning workflow.","D2;D5;D1;D4","The core problem is fundamentally about how the brand relates to individual clients: specifically, how to differentiate allocation decisions based on each client's relationship depth, connoisseurship, purchase history, and likelihood of long-term retention versus flipping. This is a personalisation challenge — matching the right scarce product to the right individual based on a nuanced understanding of that person's profile and relationship with the brand. While allocation has an operational dimension, the stated difficulty centres on preserving the perception of genuine human relationships while using AI-driven client scoring to improve relevance and fairness of who receives access. The dimensional profile reinforces this: strict scenic invisibility means the personalisation engine must operate backstage, the UNM motivation profile demands that scoring reflect authentic connoisseurship rather than superficial signals, and the strong symbolic orchestration control ensures human judgment remains the final filter. Personalisation is the appropriate lens through which to address this problem, as the brand's challenge is precisely about deepening its understanding of individual clients to make better relational decisions at scale.","runs\2026-08-21T12-47-11__1d6340"
"case_005","full","2","PASS","PRE_BACKSTAGE","Allocation Signal Engine","BACKSTAGE","INDIVIDUAL","LOW","MEDIUM","Regional commercial directors and boutique managers, during quarterly allocation planning cycles, through a restricted internal dashboard inaccessible to clients or frontline advisors","The system ingests longitudinal client data — purchase history, service engagement, private event attendance, complication category affinity, and retention tenure — to generate ranked allocation signals for scarce reference assignments. It does not produce automated decisions. It produces a prioritised candidate list per boutique, annotated with the behavioural patterns that drove each ranking, so that the boutique manager retains full authority to accept, reorder, or override any recommendation before a single allocation is confirmed. The model is trained to weight long-term retention signals and depth of horological engagement over transactional recency, preventing short-cycle buyers from displacing established collectors. Outputs are expressed in plain relational language — describing client behaviour patterns rather than scores or percentages — so that managers read the recommendation as a synthesis of client knowledge rather than a statistical verdict. A mandatory human sign-off step is embedded in the workflow: no allocation advances without a named manager's written rationale, which is logged for audit and calibration purposes.","D2;D5;D1;D4","The core problem described is fundamentally about how Audemars Piguet relates to individual clients: specifically, how to differentiate and score clients based on their relationship depth, connoisseurship, and likelihood of long-term retention, in order to allocate scarce pieces to the right individuals. This is a personalisation challenge — it concerns matching the right offering to the right client based on individual-level attributes, purchase history, and relationship signals. While allocation logistics are involved, the stated difficulty is not an inventory or supply chain problem; it is about understanding each client well enough to make allocation decisions that feel earned and relationship-driven. The strict scenic invisibility requirement and the emphasis on preserving the perception of human-governed access further confirm that the challenge sits squarely in the domain of client relationship quality and relevance of offering, making personalisation the appropriate lens through which to address it.","runs\2026-08-21T12-47-55__b58319"
"case_005","minus_critic","0","PASS","PRE_BACKSTAGE","Allocation Arbiter","BACKSTAGE","INDIVIDUAL","LOW","MEDIUM","Boutique managers and regional directors, during the monthly allocation cycle, through a secure internal dashboard accessible only to authorized staff","The system ingests structured signals from boutique CRM records — purchase history, service engagement, collector tenure, breadth of reference across complications — and produces a ranked eligibility index for each scarce reference arriving at a given boutique. It does not contact clients, generate client-facing communications, or trigger any automated outreach. The output is a prioritized shortlist with a brief rationale note per client, expressed in horological and relational terms the manager already uses: depth of collection, consistency of engagement, demonstrated interest in the specific complication category. The boutique manager reviews this shortlist before any allocation decision is made, may override any ranking, and is the sole actor who contacts the client. The system logs overrides so that its weighting model can be recalibrated over time by regional directors, keeping the algorithm subordinate to accumulated human judgment rather than the reverse.","D2;D5;D1;D4","The core problem is fundamentally about how the brand relates to individual clients: specifically, how to differentiate and score individual collectors to determine who should receive access to the scarcest watch references. This is a personalisation challenge — it concerns the relevance of what is offered to whom, the depth of the client relationship, and client retention (identifying true connoisseurs versus flippers). While allocation logistics are involved, the central difficulty is not an operational supply-chain or inventory problem; it is about understanding individual client profiles, purchase histories, and engagement patterns to tailor access in a way that feels earned and relational. The strict scenic invisibility requirement and the emphasis on human curatorial judgment as the final filter further confirm that this is a personalisation problem wrapped in a brand-experience challenge, making it appropriate to proceed.","runs\2026-08-21T12-48-37__08f313"
"case_005","minus_critic","1","PASS","PRE_BACKSTAGE","Allocation Compass","BACKSTAGE","INDIVIDUAL","LOW","MEDIUM","Boutique directors and regional allocation managers interact with a structured decision-support dashboard during the quarterly and ad-hoc allocation cycles, before any client communication occurs","The system ingests longitudinal client data — purchase history, service engagement, consultation frequency, declared horological interests logged by advisors, and tenure — to generate ranked allocation recommendations per scarce reference. It does not score clients on financial capacity or resale behaviour; it weights depth of relationship and collecting coherence instead, reflecting the brand's collector-first posture. Each recommendation surfaces a plain-language rationale drawn from the client's documented profile so the boutique director can assess, override, or reorder the list with full context. The output is a prioritised shortlist per reference, not an automated dispatch: the director must actively confirm or revise before any allocation is committed. Override decisions are logged and fed back into the model to calibrate future outputs to local market character and the director's demonstrated curatorial judgement. No client ever sees the tool, its outputs, or any signal that a scoring process occurred.","D2;D5;D4;D1","The core problem is fundamentally about how Audemars Piguet relates to individual clients: specifically, how to differentiate which clients receive access to scarce watch models based on their individual profiles, behaviors, and relationship depth with the brand. This is a personalisation challenge — it concerns matching the right offering to the right client, deepening relationship quality, improving client retention (by identifying true connoisseurs over flippers), and ensuring the relevance and consistency of the client experience across boutiques. While allocation logistics are involved, the stated difficulty is not an operational inventory problem but rather a relational one: how to score and understand individual clients well enough to make allocation decisions that feel authentic and relationship-driven. The strict scenic invisibility requirement and the emphasis on preserving human curatorial authority further confirm that the personalisation layer must be carefully designed, but they do not negate the fact that the underlying need — differentiating the brand's offering per individual client — is squarely a personalisation problem.","runs\2026-08-21T12-49-17__0cdcb7"
